rank,team,current_rating,rank_avg,rating_avg,rank_1y_change,rating_1y_change,total_matches,home_matches,away_matches,neutral_matches,wins,losses,draws,goals_for,goals_against
168,India,1128,110,1341,-6,-30,612,177,172,263,220,263,129,838,1001
169,Vanuatu,1118,156,1104,13,73,227,54,51,122,71,124,32,404,485
170,Bermuda,1117,128,1284,-4,-20,236,106,82,48,79,112,45,375,417
171,South Sudan,1109,178,1087,-4,-24,81,18,29,34,13,52,16,55,145
172,Fiji,1104,129,1246,-16,-123,288,106,65,117,126,106,56,647,463
173,Hong Kong,1100,123,1287,-5,-31,514,183,152,179,178,234,102,816,873
174,Grenada,1098,101,1370,0,16,310,115,116,79,103,129,78,490,561
175,Andorra,1080,182,1050,1,14,231,92,106,33,15,184,32,77,543
176,Mauritius,1073,108,1335,-1,-3,359,124,151,84,100,174,85,450,572
176,Chad,1073,135,1244,-13,-82,182,45,59,78,35,105,42,165,340
176,Belize,1073,139,1114,3,15,129,44,44,41,32,74,23,138,245
179,Solomon Islands,1054,147,1183,-9,-72,223,59,62,102,94,92,37,480,428
180,Saint Martin,1042,187,983,3,-2,86,18,36,32,33,44,9,136,191
181,Sao Tome and Principe,1035,174,1056,3,-3,82,24,36,22,11,60,11,59,213
182,Saint Kitts and Nevis,1030,138,1174,-2,-20,252,121,80,51,104,101,47,431,396
183,Gibraltar,1011,178,1082,-2,-35,118,41,49,28,18,85,15,70,344
184,Somaliland,1005,188,1004,2,0,2,0,0,2,1,0,1,4,3
185,Saint Lucia,1003,126,1240,0,-24,264,89,108,67,90,132,42,361,485
186,Western Sahara,996,189,996,1,0,1,0,1,0,0,1,0,0,6
187,Afghanistan,990,167,920,-9,-71,167,8,67,92,38,91,38,153,338
188,Myanmar,983,125,1244,5,41,554,119,139,296,219,231,104,899,958
189,Somalia,979,166,1072,10,68,150,10,48,92,15,112,23,78,375
190,Aruba,978,125,1198,7,61,208,83,81,44,52,112,44,298,471
191,Sint Maarten,975,187,909,3,43,75,16,25,34,23,39,13,107,194
192,Montserrat,971,191,642,-4,-7,74,15,26,33,18,48,8,76,235
193,Greenland,946,185,975,-1,0,22,2,7,13,5,16,1,35,50
194,Bangladesh,942,181,980,2,17,327,92,97,138,88,166,73,300,584
195,Djibouti,940,178,872,0,11,121,28,40,53,11,99,11,83,424
196,Dominica,935,132,1196,-7,-40,246,69,97,80,60,132,54,288,488
197,Monaco,903,199,900,5,0,9,0,1,8,4,2,3,11,15
198,Barbados,898,121,1243,-7,-51,375,168,132,75,117,162,96,492,616
199,Antigua and Barbuda,895,145,1178,1,-15,285,116,101,68,95,136,54,394,491
199,Liechtenstein,895,167,1113,2,-10,259,115,125,19,19,208,32,104,726
201,Nepal,893,190,889,-11,-62,295,74,91,130,68,174,53,247,665
202,Pakistan,880,154,1101,6,56,286,63,97,126,65,170,51,277,642
203,Cambodia,871,157,1058,3,36,318,82,93,143,73,200,45,367,816
204,Seychelles,853,182,987,0,2,190,51,58,81,26,131,33,144,425
205,Sri Lanka,836,161,932,8,91,285,70,89,126,58,177,50,278,693
206,San Marino,826,195,917,-1,-19,227,110,110,7,3,212,12,43,893
207,Taiwan,821,144,1169,-10,-96,339,96,109,134,96,191,52,465,788
208,Bonaire,816,150,1036,-2,-19,104,19,52,33,24,68,12,116,257
209,Maldives,801,191,884,-6,-71,241,65,82,94,67,135,39,289,538
210,Cayman Islands,800,183,1000,-1,-20,129,60,39,30,26,78,25,125,313
211,Chagos Islands,782,211,783,-1,0,4,0,0,4,1,2,1,8,10
212,Tuvalu,756,204,745,0,0,34,0,4,30,9,21,4,47,182
213,British Virgin Islands,743,207,788,16,116,139,35,63,41,24,91,24,129,402
214,Sint Eustatius,737,213,753,0,0,11,3,8,0,5,2,4,33,30
215,Laos,734,186,895,7,47,235,49,69,117,43,157,35,235,739
216,Samoa,728,211,658,0,0,77,28,15,34,23,50,4,109,279
217,Mongolia,725,190,842,-2,-4,102,22,39,41,21,70,11,100,288
217,Saint Barthelemy,725,217,706,0,0,10,7,3,0,4,5,1,25,29
219,East Timor,714,226,630,5,56,91,5,47,39,12,72,7,83,284
220,Guam,705,207,693,-2,-8,132,25,44,63,31,88,13,169,592
221,Wallis and Futuna,699,201,699,-2,0,24,0,5,19,5,19,0,23,109
222,Vatican,692,218,697,-2,0,5,0,0,5,0,3,2,1,6
223,Saba,691,223,675,-2,0,8,5,3,0,2,4,2,25,26
224,Bahamas,685,190,872,-14,-97,90,30,32,28,17,62,11,90,291
225,Saint Pierre and Miquelon,677,223,678,-2,0,7,0,0,7,0,7,0,2,78
226,Turks and Caicos Islands,657,211,765,0,9,56,16,22,18,13,37,6,54,197
227,Anguilla,646,224,557,4,30,117,31,50,36,16,87,14,74,413
228,Tibet,629,208,665,0,0,10,0,3,7,0,9,1,8,38
229,US Virgin Islands,628,219,685,4,41,81,27,35,19,10,58,13,55,300
230,Cook Islands,622,206,681,0,0,56,4,14,38,13,39,4,50,276
230,Bhutan,622,219,599,-3,-12,117,20,40,57,12,97,8,68,423
232,Brunei,592,201,777,-7,-65,152,30,42,80,27,112,13,119,488
233,Macao,588,175,945,-1,-7,161,51,50,60,24,120,17,141,490
234,Christmas Island,578,228,577,0,0,10,6,4,0,7,2,1,29,8
235,Falkland Islands,571,229,585,0,0,4,0,1,3,0,4,0,0,25
236,FS Micronesia,563,231,571,0,0,8,1,3,4,1,7,0,8,64
237,Marshall Islands,559,237,559,-,-,2,0,0,2,0,2,0,2,7
238,Kiribati,544,219,578,-1,0,11,0,2,9,0,10,1,7,126
239,Tonga,519,213,651,-1,0,70,10,15,45,16,48,6,82,265
240,Niue,496,225,496,-1,0,2,0,0,2,0,2,0,0,33
241,Northern Mariana Islands,432,233,512,-1,0,36,7,11,18,5,28,3,43,153
242,Cocos Islands,422,235,423,-1,0,10,4,6,0,2,7,1,8,29
243,Palau,402,237,402,-1,0,2,2,0,0,0,2,0,3,27
244,Eastern Samoa,369,226,467,-1,-19,59,0,15,44,5,52,2,36,385
